file,tool,attempted,status,success,returncode,finding_count,line,severity,check_id,message,evidence,log_path
/home/yichen/Desktop/Gemini_GSCP03/F001.c,clang_analyzer,True,success,True,0,1,82,warning,core.NullDereference,Dereference of null pointer,/home/yichen/Desktop/Gemini_GSCP03/F001.c:82:29: warning: Dereference of null pointer [core.NullDereference],/home/yichen/Desktop/Gemini_GSCP_Results03/logs/F001_clang_analyzer.log
/home/yichen/Desktop/Gemini_GSCP03/F002.c,clang_analyzer,True,success,True,0,1,82,warning,core.NullDereference,Dereference of null pointer,/home/yichen/Desktop/Gemini_GSCP03/F002.c:82:30: warning: Dereference of null pointer [core.NullDereference],/home/yichen/Desktop/Gemini_GSCP_Results03/logs/F002_clang_analyzer.log
/home/yichen/Desktop/Gemini_GSCP03/F003.c,clang_analyzer,True,success,True,0,1,92,warning,core.NullDereference,Dereference of null pointer,/home/yichen/Desktop/Gemini_GSCP03/F003.c:92:35: warning: Dereference of null pointer [core.NullDereference],/home/yichen/Desktop/Gemini_GSCP_Results03/logs/F003_clang_analyzer.log
/home/yichen/Desktop/Gemini_GSCP03/F004.c,clang_analyzer,True,success,True,0,1,92,warning,core.NullDereference,Dereference of null pointer,/home/yichen/Desktop/Gemini_GSCP03/F004.c:92:34: warning: Dereference of null pointer [core.NullDereference],/home/yichen/Desktop/Gemini_GSCP_Results03/logs/F004_clang_analyzer.log
/home/yichen/Desktop/Gemini_GSCP03/F005.c,clang_analyzer,True,success,True,0,2,95,warning,core.NullDereference,Dereference of null pointer,/home/yichen/Desktop/Gemini_GSCP03/F005.c:95:33: warning: Dereference of null pointer [core.NullDereference],/home/yichen/Desktop/Gemini_GSCP_Results03/logs/F005_clang_analyzer.log
/home/yichen/Desktop/Gemini_GSCP03/F005.c,clang_analyzer,True,success,True,0,2,105,warning,core.NullDereference,Dereference of null pointer,/home/yichen/Desktop/Gemini_GSCP03/F005.c:105:31: warning: Dereference of null pointer [core.NullDereference],/home/yichen/Desktop/Gemini_GSCP_Results03/logs/F005_clang_analyzer.log
/home/yichen/Desktop/Gemini_GSCP03/F006.c,clang_analyzer,True,success,True,0,1,96,warning,core.NullDereference,Dereference of null pointer,/home/yichen/Desktop/Gemini_GSCP03/F006.c:96:35: warning: Dereference of null pointer [core.NullDereference],/home/yichen/Desktop/Gemini_GSCP_Results03/logs/F006_clang_analyzer.log
/home/yichen/Desktop/Gemini_GSCP03/F007.c,clang_analyzer,True,success,True,0,1,110,warning,core.NullDereference,Dereference of null pointer,/home/yichen/Desktop/Gemini_GSCP03/F007.c:110:31: warning: Dereference of null pointer [core.NullDereference],/home/yichen/Desktop/Gemini_GSCP_Results03/logs/F007_clang_analyzer.log
/home/yichen/Desktop/Gemini_GSCP03/F008.c,clang_analyzer,True,success,True,0,1,103,warning,core.NullDereference,Dereference of null pointer,/home/yichen/Desktop/Gemini_GSCP03/F008.c:103:31: warning: Dereference of null pointer [core.NullDereference],/home/yichen/Desktop/Gemini_GSCP_Results03/logs/F008_clang_analyzer.log
/home/yichen/Desktop/Gemini_GSCP03/F009.c,clang_analyzer,True,success,True,0,2,96,warning,core.NullDereference,Dereference of null pointer,/home/yichen/Desktop/Gemini_GSCP03/F009.c:96:42: warning: Dereference of null pointer [core.NullDereference],/home/yichen/Desktop/Gemini_GSCP_Results03/logs/F009_clang_analyzer.log
/home/yichen/Desktop/Gemini_GSCP03/F009.c,clang_analyzer,True,success,True,0,2,109,warning,core.NullDereference,Dereference of null pointer,/home/yichen/Desktop/Gemini_GSCP03/F009.c:109:38: warning: Dereference of null pointer [core.NullDereference],/home/yichen/Desktop/Gemini_GSCP_Results03/logs/F009_clang_analyzer.log
/home/yichen/Desktop/Gemini_GSCP03/F010.c,clang_analyzer,True,success,True,0,2,96,warning,core.NullDereference,Dereference of null pointer,/home/yichen/Desktop/Gemini_GSCP03/F010.c:96:34: warning: Dereference of null pointer [core.NullDereference],/home/yichen/Desktop/Gemini_GSCP_Results03/logs/F010_clang_analyzer.log
/home/yichen/Desktop/Gemini_GSCP03/F010.c,clang_analyzer,True,success,True,0,2,109,warning,core.NullDereference,Array access (via field 'values') results in a null pointer dereference,/home/yichen/Desktop/Gemini_GSCP03/F010.c:109:39: warning: Array access (via field 'values') results in a null pointer dereference [core.NullDereference],/home/yichen/Desktop/Gemini_GSCP_Results03/logs/F010_clang_analyzer.log
