file,tool,mode,attempted,success,returncode,warning_count,error_count,log_path
/home/yichen/Desktop/Deepseek_GSCP02/F001.c,gcc,normal,True,True,0,0,0,/home/yichen/Desktop/Deepseek_GSCP_Results02/logs/F001_gcc_normal.log
/home/yichen/Desktop/Deepseek_GSCP02/F001.c,clang,normal,True,True,0,0,0,/home/yichen/Desktop/Deepseek_GSCP_Results02/logs/F001_clang_normal.log
/home/yichen/Desktop/Deepseek_GSCP02/F001.c,gcc,asan,True,True,0,0,0,/home/yichen/Desktop/Deepseek_GSCP_Results02/logs/F001_gcc_asan.log
/home/yichen/Desktop/Deepseek_GSCP02/F002.c,gcc,normal,True,True,0,0,0,/home/yichen/Desktop/Deepseek_GSCP_Results02/logs/F002_gcc_normal.log
/home/yichen/Desktop/Deepseek_GSCP02/F002.c,clang,normal,True,True,0,0,0,/home/yichen/Desktop/Deepseek_GSCP_Results02/logs/F002_clang_normal.log
/home/yichen/Desktop/Deepseek_GSCP02/F002.c,gcc,asan,True,True,0,0,0,/home/yichen/Desktop/Deepseek_GSCP_Results02/logs/F002_gcc_asan.log
/home/yichen/Desktop/Deepseek_GSCP02/F003.c,gcc,normal,True,True,0,0,0,/home/yichen/Desktop/Deepseek_GSCP_Results02/logs/F003_gcc_normal.log
/home/yichen/Desktop/Deepseek_GSCP02/F003.c,clang,normal,True,True,0,0,0,/home/yichen/Desktop/Deepseek_GSCP_Results02/logs/F003_clang_normal.log
/home/yichen/Desktop/Deepseek_GSCP02/F003.c,gcc,asan,True,True,0,0,0,/home/yichen/Desktop/Deepseek_GSCP_Results02/logs/F003_gcc_asan.log
/home/yichen/Desktop/Deepseek_GSCP02/F004.c,gcc,normal,True,True,0,0,0,/home/yichen/Desktop/Deepseek_GSCP_Results02/logs/F004_gcc_normal.log
/home/yichen/Desktop/Deepseek_GSCP02/F004.c,clang,normal,True,True,0,0,0,/home/yichen/Desktop/Deepseek_GSCP_Results02/logs/F004_clang_normal.log
